Université Amar Telidji,Algeria,,"[""lagh-univ.dz""]",DZ,"[""http://www.lagh-univ.dz/""]"
Université M'hamed Bouguerra de Boumerdes,Algeria,,"[""umbb.dz""]",DZ,"[""http://www.umbb.dz/""]"
Université Mentouri Constantine,Algeria,,"[""umc.edu.dz""]",DZ,"[""http://www.umc.edu.dz/""]"
Université Mouloud Mammeri de Tizi Ouzou,Algeria,,"[""ummto.dz""]",DZ,"[""http://www.ummto.dz/""]"
Université d'Alger 3,Algeria,,"[""univ-alger3.dz""]",DZ,"[""http://www.univ-alger3.dz/""]"
Université d'Alger,Algeria,,"[""univ-alger.dz""]",DZ,"[""http://www.univ-alger.dz/""]"
Université Badji Mokhtar,Algeria,,"[""univ-annaba.dz""]",DZ,"[""http://www.univ-annaba.dz/""]"
Université de Batna,Algeria,,"[""univ-batna.dz""]",DZ,"[""http://www.univ-batna.dz/""]"
Université de Béjaia,Algeria,,"[""univ-bejaia.dz""]",DZ,"[""http://www.univ-bejaia.dz/""]"
Université de Biskra,Algeria,,"[""univ-biskra.dz""]",DZ,"[""http://www.univ-biskra.dz/""]"
Université de Blida,Algeria,,"[""univ-blida.dz""]",DZ,"[""http://www.univ-blida.dz/""]"
Université de Chlef,Algeria,,"[""univ-chlef.dz""]",DZ,"[""http://www.univ-chlef.dz/""]"
Universite des Sciences Islamiques de Constantine,Algeria,,"[""univ-emir.dz""]",DZ,"[""http://www.univ-emir.dz/""]"
Université de Guelma,Algeria,,"[""univ-guelma.dz""]",DZ,"[""http://www.univ-guelma.dz/""]"
Centre Universitaire de Jijel,Algeria,,"[""univ-jijel.dz""]",DZ,"[""http://www.univ-jijel.dz/""]"
Université de Mostaganem,Algeria,,"[""univ-mosta.dz""]",DZ,"[""http://www.univ-mosta.dz/""]"
Université de M'sila,Algeria,,"[""univ-msila.dz""]",DZ,"[""http://www.univ-msila.dz/""]"
Centre Universitaire d'Oum El Bouaghi,Algeria,,"[""univ-oeb.dz""]",DZ,"[""http://www.univ-oeb.dz/""]"
Université d'Oran Es-Senia,Algeria,,"[""univ-oran.dz""]",DZ,"[""http://www.univ-oran.dz/""]"
Université Kasdi Merbah Ouargla,Algeria,,"[""univ-ouargla.dz""]",DZ,"[""http://www.univ-ouargla.dz/""]"
Université de Saida,Algeria,,"[""univ-saida.dz""]",DZ,"[""http://www.univ-saida.dz/""]"
Université de Sidi-Bel-Abbès (Djillali Liabès),Algeria,,"[""univ-sba.dz""]",DZ,"[""http://www.univ-sba.dz/""]"
Université de Sétif,Algeria,,"[""univ-setif.dz""]",DZ,"[""http://www.univ-setif.dz/""]"
Université de Skikda,Algeria,,"[""univ-skikda.dz""]",DZ,"[""http://www.univ-skikda.dz/""]"
Centre Universitaire de Tebessa,Algeria,,"[""univ-tebessa.dz""]",DZ,"[""http://www.univ-tebessa.dz/""]"
Centre Universitaire de Tiaret,Algeria,,"[""univ-tiaret.dz""]",DZ,"[""http://www.univ-tiaret.dz/""]"
"Université Abou Bekr Belkaid, Tlemcen",Algeria,,"[""univ-tlemcen.dz""]",DZ,"[""http://www.univ-tlemcen.dz/""]"
Université des Sciences et de la Technologie d'Oran,Algeria,,"[""univ-usto.dz""]",DZ,"[""http://www.univ-usto.dz/""]"
Université des Sciences et de la Technologie Houari Boumediène,Algeria,,"[""usthb.dz""]",DZ,"[""http://www.usthb.dz/""]"
